표준노드ID,노드명,노드유형코드,회전제한여부,경도,위도,적용시작일자
1570279500,금포리2403-5,101,0,128.429025,35.771086,2020-09-01
1570279600,금포리1453-1,101,0,128.42895,35.772002,2020-09-01
1570279700,금포리1427-9,101,0,128.42915,35.772327,2020-09-01
1570279800,금포리1359-2,101,0,128.428301,35.773377,2020-09-01
1570279900,금포리1356-1,101,0,128.428788,35.773635,2020-09-01
1570280000,금포리1424,101,0,128.429638,35.772569,2020-09-01
1570280100,금포리1426,101,0,128.429988,35.772119,2020-09-01
1570280200,금포리산29-2,101,0,128.430138,35.772852,2020-09-01
1570280300,금포리산28-4,101,0,128.430725,35.772077,2020-09-01
3610138002,서부리109-1,102,0,128.585263,37.133761,2025-01-15
3610004806,우보삼거리,101,0,128.68486,37.096702,2025-01-15
1570280400,금포리산35-15,101,0,128.430238,35.771794,2020-09-01
1570280500,금포리1454-1,101,0,128.429213,35.771686,2020-09-01
1570280600,금포리1455,101,0,128.429488,35.771352,2020-09-01
1570280700,금포2교차로,101,1,128.428201,35.777327,2020-09-01
1570293000,천내리441-2,101,0,128.500919,35.802599,2020-09-01
1570293100,천내리450-1,102,0,128.501594,35.802966,2020-09-01
1570293200,매곡리산34-1,102,0,128.456585,35.860584,2020-09-01
1570293300,반송리산7-1,102,0,128.504869,35.750447,2020-09-01
1570293400,행정교(동측),104,0,128.639807,35.787844,2020-09-01
1570293500,행정교(서측),104,0,128.639182,35.787619,2020-09-01
1570293600,88낙동강교,104,0,128.390517,35.759077,2020-09-01
1570293700,달성군-고령군,105,0,128.420796,35.696865,2020-09-01
1570293800,중부내륙낙동대교,104,0,128.424215,35.691802,2020-09-01
1570293900,현풍교,104,0,128.42595,35.689218,2020-09-01
1570294000,현풍교,104,0,128.429412,35.684118,2020-09-01
1570294100,유산리64-2,101,0,128.431895,35.627894,2020-09-01
1570294200,달성군-창녕군,105,0,128.432526,35.624325,2020-09-01
1570294300,달성군-창녕군,105,0,128.444837,35.634409,2020-09-01
1570294400,달성군-창녕군,105,0,128.460132,35.640539,2020-09-01
1570294500,도의리776,101,0,128.461975,35.663317,2020-09-01
1570294600,도의리산29-2,101,0,128.469801,35.662499,2020-09-01
1570294700,달성군-칠곡군,105,0,128.476139,35.931473,2020-09-01
1570294800,가태리산77-1,101,0,128.471604,35.645001,2020-09-01
1570294900,설화리186-1,102,0,128.482038,35.799675,2020-09-01
1570295000,S-Oil우리,101,1,128.482551,35.797398,2020-09-01
1570295100,달서구-달성군,105,0,128.587456,35.806591,2020-09-01
1570295200,수성구-달성군,105,0,128.595065,35.807478,2020-09-01
1570295300,삼산리306,101,0,128.66344,35.734066,2020-09-01
1570295400,짐터교차로,101,0,128.673778,35.725299,2020-09-01
3570000200,신광마을,101,0,128.918977,35.866278,2020-09-01
3570000201,조곡교앞교차로,101,0,128.909463,35.865633,2020-09-01
3570000202,속성변화점,103,0,128.906151,35.86858,2020-09-01
3570000203,어방교,104,0,128.93934,35.862686,2020-09-01
3570000204,어방교,104,0,128.939776,35.862634,2020-09-01
3570000400,조곡교,101,0,128.899198,35.872642,2020-09-01
3570000401,속성변화점,103,0,128.904093,35.869822,2020-09-01
3570000500,조곡교남측,104,0,128.898589,35.873111,2020-09-01
3570000600,조곡교북측,104,0,128.898129,35.873513,2020-09-01
3570000700,대창삼거리,101,0,128.896051,35.875811,2020-09-01
3570000701,대창교,104,0,128.896189,35.875632,2020-09-01
3570000800,포척교남측,104,0,128.891349,35.885448,2020-09-01
3570000900,포척교,101,0,128.890835,35.886561,2020-09-01
3570000901,마음교앞교차로,101,0,128.889197,35.895799,2020-09-01
3570000902,한국부분정비앞교차로,101,0,128.887803,35.909129,2020-09-01
3570001400,영천IC,106,0,128.945896,35.9221,2020-09-01
3570001500,영천IC,106,0,128.954487,35.922461,2020-09-01
3570001800,영천IC,106,1,128.950531,35.925861,2020-09-01
3570001900,금장교남측,104,0,128.876147,35.929165,2020-09-01
3570001901,금호농협농수산물앞교차로,101,0,128.876214,35.928915,2020-09-01
3570001902,대곡마을입구교차로,101,0,128.882887,35.921239,2020-09-01
3570002100,금호강교차로,101,0,128.872231,35.93124,2020-09-01
3570002101,새마을금고앞교차로,101,0,128.872801,35.931359,2020-09-01
3570002200,금장교북측,104,0,128.875479,35.931455,2020-09-01
3570002300,금창삼거리,101,0,128.875291,35.931897,2020-09-01
3570002400,교대사거리,101,0,128.871261,35.932836,2020-09-01
3570002500,교대사거리,101,1,128.870134,35.934701,2020-09-01
3570002501,계당교,104,0,128.862223,35.932277,2020-09-01
3570002502,계당교,104,0,128.86189,35.932171,2020-09-01
3570002900,금호교차로,101,0,128.878422,35.937229,2020-09-01
3570002901,금호교차로,101,0,128.876649,35.936672,2020-09-01
3570002902,석섬리525-65,101,1,128.884708,35.937286,2020-09-01
3570002903,금호육교,104,0,128.888147,35.936993,2020-09-01
3570002904,금호육교,104,0,128.889957,35.936808,2020-09-01
3570002905,금호육교,101,1,128.893338,35.936161,2020-09-01
3570002906,신월리387,101,1,128.899217,35.933485,2020-09-01
3570002907,신월교,104,0,128.90117,35.932591,2020-09-01
3570002908,신월교,104,0,128.901628,35.93241,2020-09-01
3570003000,도동교차로,101,0,128.930168,35.938186,2020-09-01
3570003001,금호대교,104,0,128.928715,35.937955,2020-09-01
3570003002,금호대교,104,0,128.920869,35.936453,2020-09-01
3570003003,곡촌교,104,0,128.912634,35.93391,2020-09-01
3570003004,봉죽리273-3,101,0,128.912348,35.933816,2020-09-01
